 市场名称,市场地址,序号,所属社区名称,服务时间,类别名,联系电话,邮政编码,镇街 ,lat,lng,town
 佛山市南海区罗村罗湖市场,佛山市南海区罗村罗湖区新湖二路,77,罗湖社区,6：00——20：00,农贸市场,86447205,528226,罗村 ,23.059916,113.044964,狮山镇,新湖二路
 佛山市南海区罗村务庄德银市场,佛山市南海区罗村务庄穗丰村外朗,80,务庄社区,7：00——20：00,农贸市场,86442888,528226,罗村 ,23.047735,113.018072,狮山镇,Y109(罗务路)
 佛山市南海区罗村金湖农贸市场,佛山市南海区狮山镇罗村城西区长庚路,78,罗湖社区,6：00——18：00,农贸市场,86489266,528226,罗村 ,23.062094,113.036766,狮山镇,金湖美食街
 佛山市南海区罗村下柏志业市场,佛山市南海区罗村下柏工业大道21号,81,下柏社区,6：00——21：00,农贸市场,86401177,528226,罗村 ,23.064658,113.016577,狮山镇,下柏工业大道
 佛山市南海区罗村街边昌荣市场,佛山市南海区狮山镇罗村街边,79,街边社区,5：30——22：30,农贸市场,86402711,528226,罗村 ,23.039285,113.067304,张槎街道,昌荣二街
 佛山市南海区朗沙桂雨嘉综合市场,佛山市南海区罗村朗沙工业大道,83,朗沙社区,8：00——10：00,农贸市场,86405377,528226,罗村 ,23.038225,113.040597,狮山镇,下罗沙村前街
 佛山市南海区新联和市场,佛山市南海联和大道侧,84,联和社区,7：00——20：00,农贸市场,86486988,528226,罗村 ,23.070537,113.078125,狮山镇,西区三路
 谭边市场,佛山市南海区谭边联星村,85,谭边村委会,6：00--20：00,农贸市场,81820882,528231,狮山 ,23.096729,113.142966,大沥镇,联河路
 兴贤市场,佛山市南海区兴贤下北村,86,兴贤村委会,6：00--20：00,农贸市场,无,528231,狮山 ,23.126807,113.071596,狮山镇,兴贤大道
 佛山市南海区里水岗联市场,南海区里水镇岗联乡新庄村,120,岗联村委会,6:00——20:30,农贸市场,13927787938,528244,里水 ,23.202444,113.10847,里水镇,西线路
 佛山市南海区桂城石石肯大庙农贸综合市场,南海区桂城石石肯圩进路,5,石石肯,6：00——20：00,农贸市场,86361694,528200,桂城 ,23.012332,113.151146,桂城街道,桂业路
 佛山市南海东方市场,夏平路北侧,7,平北社区,3:30——12：00,农贸市场,86770794,528251,桂城 ,23.045039,113.192071,桂城街道,新胜路
 佛山市南海区桂城（虫雷）岗永盛市场,桂城佛平二路,8,南约社区,6：00——20：00,农贸市场,86333663,528200,桂城 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 平洲市场,桂城平洲永安中路,12,江滨社区,6：00——20：00,农贸市场,86774712,528200,桂城 ,23.031854,113.204506,桂城街道,新市场中路
 上良村市场,平洲平西上良村,15,平西,8：00——19：00,农贸市场,86783118,528200,桂城 ,23.02295,113.189192,桂城街道,上良南街
 奕东市场,南海区桂城奕东大道侧,16,东区,6：00——20：00,农贸市场,86703146,528251,桂城 ,23.03292,113.235212,桂城街道,
 东二新村市场,南海区桂城东二新村南新三路旁,17,东二,6：00——20：00,农贸市场,86322670,528200,桂城 ,23.030599,113.144222,桂城街道,南新三路
 乐庆市场,桂城南一路,19,叠南社区,6：00——20：00,农贸市场,86236618,528200,桂城 ,23.047722,113.129675,桂城街道,海二路
 雄洲街市,桂城叠北村,20,叠北社区,5:00——21:00,农贸市场,81855866,528200,桂城 ,23.03704,113.138438,桂城街道,桂城镇东约区新邨大街
 东二南兴市场,南海区桂城东二南兴村南新三路旁,22,东二,6：00——20：00,农贸市场,86397062,528200,桂城 ,23.031197,113.144295,桂城街道,南新三路
 聚龙市场,平西聚龙村,24,平西,8：00——13：00,农贸市场,81251350,528200,桂城 ,23.025734,113.178916,桂城街道,北一大道
 新天地市场,新天地广场二层物业管理用房,25,翠怡社区,8：00——19：00,农贸市场,13794083835,528200,桂城 ,23.200653,113.151493,里水镇,下塘路
 太港城市场,佛山市南海区桂城街道佛平五路17号太港城二楼1号室,26,平西,8：00——19：00,农贸市场,81813611,528200,桂城 ,23.031538,113.188331,桂城街道,蓬涌大道
 佛山市南海区狮山谭边市场,佛山市南海区谭边联星村,92,谭边村委会,6：00——20：00,农贸市场,81820882,528231,狮山 ,23.096729,113.142966,大沥镇,联河路
 佛山市南海区狮山兴贤市场,佛山市南海区兴贤下北村,93,兴贤村委会,6：00——20：00,农贸市场,13687435912,528231,狮山 ,23.126807,113.071596,狮山镇,兴贤大道
 佛山市南海区狮山颜峰市场,佛山市南海区颜峰大道侧,94,颜峰村委会,6：00——20：00,农贸市场,85501579,528231,狮山 ,23.128953,113.077053,狮山镇,建设二路
 佛山市南海区狮山高边市场,佛山市南海区高边村委会侧,95,高边村委会,6：00——20：00,农贸市场,85576885,528231,狮山 ,23.12507,113.087315,狮山镇,高北大道
 官窑南门二市场,佛山市南海区狮山镇官窑起凤东路8号,97,凤源社区,8:00——22:00,农贸市场,85899338,528237,狮山 ,23.22971,113.078176,狮山镇,起凤东路
 佛山市南海区官窑官西市场,狮山镇官窑官窑村,100,官窑社区,8:00——22:00,农贸市场,85887512,528237,狮山 ,23.22772,113.080551,狮山镇,永安大道
 沙涌肉菜市场,南海区里水镇沙涌管理区,115,沙涌社区,6:00——20:30,农贸市场,85662592,528244,里水 ,22.957499,112.973631,西樵镇,聚云街
 佛山市南海区里水五一市场,佛山市南海区里水镇胜利五一大道17号之一,129,胜利村委会,6:00——20:30,农贸市场,18942404898,528244,里水 ,23.197169,113.175658,里水镇,五一村大道
 佛山市南海区九江远和综合市场,九江镇东福路3号,153,下东,6：00-20：00,农贸市场,86559174,528203,九江 ,22.81738,113.03045,九江镇,东福路
 佛山市南海区九江洛浦汇港城综合市场,九江镇洛浦大道旁,156,下西,6：00-20：00,农贸市场,86564717,528203,九江 ,22.83869,113.000542,九江镇,洛浦路
 佛山市南海区上北市场,佛山市南海区九江梅圳村委会,158,梅圳,6：00-20：00,农贸市场,86518268,528203,九江 ,23.062847,113.08567,狮山镇,宣巷村大街
 九江敦根市场,佛山市南海区九江镇敦根村口龙高路边综合楼A二楼,159,敦根,6：00-20：00,农贸市场,81860260,528203,九江 ,22.871335,112.993661,九江镇,龙高路辅路
 佛山市南海区九江英明市场,佛山市南海区九江英明居委会,160,英明,6：00-20：00,农贸市场,86901688,528208,九江 ,22.892653,113.035036,九江镇,明安路
 佛山市南海区沙头石江南边市场,佛山市南海区沙头石江,161,石江,6：00-20：00,农贸市场,86918290,528208,九江 ,23.144835,112.904787,狮山镇,
 南海区大沥镇曹边市场,南海区大沥曹边大道边,70,大沥曹边社区,6:00——19:00,农贸市场,15986177977,528231,大沥 ,23.088581,113.094804,大沥镇,曹边大道
 南海区大沥镇黄岐棉沣市场,南海区大沥镇黄岐棉西太湖路以北地块商铺自编1号之一,71,黄岐黄岐社区,6:00——19:00,农贸市场,13630118876,528248,大沥 ,23.119485,113.190219,大沥镇,鄱阳路
 佛山市南海罗村上柏为群综合市场,佛山市南海区罗村上柏大道侧,81,上柏社区,7：30——19：30,农贸市场,86410118,528226,狮山 ,23.077098,113.021332,狮山镇,桂丹路辅路
 佛山市南海区罗村镇务庄标文综合市场,佛山市南海区罗村镇务庄庄步林,82,务庄社区,7：00——20：00,农贸市场, ,528226,狮山 ,23.061345,113.045393,狮山镇,新湖二路
 佛山市南海区易运物流市场,佛山市南海区大沥谢边货站路,69,大沥谢边社区,8:00——17:30,农贸市场,89922888,528231,大沥 ,23.06494,113.110337,祖庙街道,货站路
 佛山市南海区狮山官窑南门二市场,佛山市南海区狮山镇官窑起凤东路8号,84,七甫社区,8:00——22：00,农贸市场,85899338,528237,狮山 ,23.22971,113.078176,狮山镇,起凤东路
 佛山市南海官窑润和商业广场,佛山市南海区狮山镇瑶平路北侧,86,凤源社区,8:00——22：00,农贸市场,81191208,528237,狮山 ,23.225812,113.070713,狮山镇,窑平路
 佛山市南海区狮山镇官窑大榄市场,佛山市南海区狮山镇官窑大榄圩,87,大榄社区,8:00——22：00,农贸市场,13078168420,528237,狮山 ,23.124953,113.002144,狮山镇,博爱路
 官西市场,佛山市南海区狮山镇官窑厚西村,88,官窑社区,8:00——22：00,农贸市场,85887512,528237,狮山 ,23.228813,113.065132,狮山镇,石市路
 佛山市南海区龙丰商贸城,佛山市南海区狮山镇松岗龙头松石路龙头路段,91,龙头社区,5：00——19：00,农贸市场,88370131,528234,狮山 ,23.165777,113.112357,狮山镇,Y399(松石路)
 佛山市南海区里水甘蕉市场,南海区里水镇甘蕉市场路1号,116,甘蕉社区,6:00——20:30,农贸市场,85657899,528244,里水 ,23.171603,113.139575,里水镇,里水大道
 佛山市南海区里水大冲市场,南海区里水镇大冲村委,118,大冲社区,6:00——20:30,农贸市场,85683668,528244,里水 ,23.153909,113.126679,里水镇,X513(联江路)
 佛山市南海区里水河村西紫市场,南海区里水镇河村西紫大氹路段,119,河村社区,6:00——20:30,农贸市场,85663694,528244,里水 ,23.179918,113.158267,里水镇,西紫南街
 佛山市南海区里水沙涌综合市场,南海区里水镇沙涌村委会下沙村民小组沙涌大道,117,沙涌社区,6:00——20:30,农贸市场,85662592,528244,里水 ,23.14517,113.160603,里水镇,沙步西路
 佛山市南海区里水得胜市场,南海区里水镇得胜中隅村横六路,121,得胜村委会,6:00——20:30,农贸市场,13630023082,528244,里水 ,23.20482,113.150702,里水镇,新兴路
 佛山市南海区里水布新肉菜市场,南海区里水镇布新茗香酒楼旁,122,布新村委会,6:00——20:30,农贸市场,13927728309,528244,里水 ,23.216767,113.096679,里水镇,布新大道
 佛山市南海区里水宏岗市场,南海区里水镇中心大街,123,宏岗村委会,6:00——20:30,农贸市场,13630162639,528244,里水 ,23.229053,113.139852,里水镇,里和路
 佛山市南海区里水麻奢市场,佛山市南海区里水镇麻奢村麻石路,124,麻奢村委会,6:00——20:30,农贸市场,15363833388,528244,里水 ,23.214792,113.114311,里水镇,里水市场大道
 佛山市南海区里水北沙市场,南海区里水镇北沙村鹤暖岗村民小组冷口地段,125,北沙村委会,6:00——20:30,农贸市场,13923171933,528244,里水 ,23.2377,113.104536,里水镇,鹤峰大道
 佛山市南海区里水邓岗市场,佛山市南海区里水镇邓岗大道13号,127,邓岗社区,6:00——20:30,农贸市场,13702986413,528244,里水 ,23.188927,113.149905,里水镇,邓岗大道
 佛山市南海区里水和顺铜锣湾综合市场,佛山市南海区里水镇和顺花园大道38号,128,和顺社区,6:00——20:30,农贸市场,13600311678，18902422925,528244,里水 ,23.187531,113.155164,里水镇,石荣路
 佛山市南海区里水白岗市场,佛山市南海区里水镇白岗村委会,129,白岗村委会,6:00——20:30,农贸市场,138028955985,528244,里水 ,23.236111,113.141854,里水镇,棠白路
 佛山市南海区里水金泰市场,佛山市南海区里水镇和顺大道26号之一,130,金和社区,6:00——20:30,农贸市场,85113208,528244,里水 ,23.248265,113.131815,里水镇,里和路
 佛山市南海区里水五丰生猪交易市场,南海区里水镇和顺鹤峰村委会南北大道路段,131,逢涌村委会,6:00——20:30,农贸市场,138029221228,528244,里水 ,23.009793,113.103051,石湾镇街道,汾江南路
 佛山市南海区里水丰岗市场,佛山市南海区里水胜利丰岗村,132,丰岗村委会,6:00——20:30,农贸市场,13902817168,528244,里水 ,23.187531,113.155164,里水镇,石荣路
 佛山市南海区里水草场市场,佛山市南海区里水镇草场大道,133,草场社区,6:00——20:30,农贸市场,18922168828,528244,里水 ,23.201026,113.158807,里水镇,新兴路
 佛山市南海区里水太行市场,佛山市南海区里水镇新联村,134,里水社区,6:00——20:30,农贸市场,85666678,528244,里水 ,23.195985,113.163931,里水镇,里广路
 佛山市南海区里水洲村新市场,里水洲村新市场A幢二楼8号,136,洲村社区,6:00——20:30,农贸市场,13802465655,528244,里水 ,23.188599,113.131384,里水镇,西线东路
 佛山市南海区里水洲村综合市场,佛山市南海区里水镇洲村桥头大街1号,135,洲村社区,6:00——20:30,农贸市场,85620632,528244,里水 ,23.184736,113.19347,里水镇,桥头大街
 佛山市南海区里水里水商贸中心市场,佛山市南海区里水镇夏塘路41号,137,里水社区,6:00——20:30,农贸市场,85683668,528244,里水 ,23.1996,113.152675,里水镇,夏塘路
 佛山市南海区里水河塱沙市场,佛山市南海区里水胜利村河塱沙村民小组上庄,138,胜利社区,6:00——20:30,农贸市场,13535858988，13703081802,528244,里水 ,23.213055,113.182059,里水镇,东秀路
